Pixels,Classification
"[239.68159930747174, 115.79462208515933, 176.09392414651302]",Pink
"[236.41968295190173, 132.80603798084726, 171.18736135908674]",Pink
"[234.9415138235135, 128.56073148298435, 171.4743277606449]",Pink
"[233.93058486176486, 136.5523995022453, 174.29762484445166]",Pink
"[226.8653898176703, 241.82924849862036, 234.57063247308338]",Not Pink
"[239.15224801168642, 238.46880917599955, 234.3840285667911]",Not Pink
"[235.45317318617109, 238.925823729914, 235.33441540875398]",Not Pink
"[239.58854082129525, 82.09727858031705, 169.11459178704754]",Pink
"[231.09992966509765, 136.41032299951306, 176.99183033057403]",Pink
"[237.00703349023428, 124.7434940215333, 174.02212844235243]",Pink
"[231.74587458745876, 150.9350754747606, 187.14656711572798]",Pink
"[231.1102093815939, 239.68987718443975, 233.32278309798193]",Not Pink
"[238.37136828436942, 237.5299464372667, 233.5052751176757]",Not Pink
"[240.74798463452902, 78.50381431585781, 170.3650922469296]",Pink
"[242.42752799870152, 115.9075907590759, 172.84174646972895]",Pink
"[235.32608342801493, 130.3797543688795, 175.84683222420603]",Pink
"[231.49191148623058, 128.8625764215766, 172.4517123843532]",Pink
"[36.55759346426446, 61.65000270518855, 53.61110209381594]",Not Pink
"[46.193204566358276, 58.97716820862414, 53.50067629713791]",Not Pink
"[53.70399826867933, 60.515446626629874, 53.656332846399394]",Not Pink
"[246.47573445869176, 70.78358491586863, 173.0942487691392]",Pink
"[235.01000919764107, 127.58919006654764, 175.3517286154845]",Pink
"[236.77043769950765, 125.54585294595033, 172.95038684196288]",Pink
"[144.97911594438133, 176.72926472975166, 156.8357409511443]",Not Pink
"[165.07655683601146, 168.3985283774279, 168.33019531461343]",Not Pink
"[166.16122923767787, 158.31423470215873, 157.9367526916626]",Not Pink
"[244.90255910836984, 100.21268192393009, 179.95888113401503]",Pink
"[237.27344045879997, 124.71752421143754, 169.43088243250554]",Pink
"[226.5347616728886, 143.78693934967268, 173.66412378942812]",Pink
"[189.1545203700698, 195.50224530649785, 192.66493534599363]",Not Pink
"[197.24065357355408, 192.90483146675322, 191.44916950711465]",Not Pink
"[193.499161391549, 194.67278039279338, 188.54834171941783]",Not Pink
"[239.87410052480658, 95.11188659849591, 181.18379051019855]",Pink
"[228.60504247146025, 116.33603852188497, 169.23940918682032]",Pink
"[232.24638857328355, 98.16593626575772, 174.93610344641021]",Pink
"[232.28415300546447, 98.42682464967808, 175.0277011307688]",Pink
"[206.0978737217984, 141.98560839690526, 179.86841962884813]",Not Pink
"[207.16236541686956, 140.16360980360332, 180.5752853973922]",Not Pink
"[183.2309689985392, 195.35708488881676, 186.90228858951468]",Not Pink
"[222.13536763512417, 93.34296380457718, 177.7250446356111]",Pink
"[219.22972461180544, 114.44446247903478, 173.73516204079425]",Pink
"[231.9161391548991, 85.49418384461397, 175.7173077963534]",Pink
"[231.78693934967268, 99.9523886814911, 173.68262727912136]",Pink
"[33.282097062165235, 46.14418654980252, 46.61570091435373]",Not Pink
"[201.0736352323757, 146.05242655413082, 163.9610993886274]",Not Pink
"[158.9266893902505, 159.86603906292268, 167.0815343829465]",Not Pink
"[217.11983985283774, 93.48844884488449, 170.11902829627226]",Pink
"[159.75507222853432, 162.71606340961966, 159.99989179245793]",Not Pink
"[228.96710490721205, 74.21468376345831, 175.1623113130985]",Pink
"[50.58102039712168, 153.46280365741492, 151.17172536925824]",Not Pink
"[53.391657198506735, 153.48525672239356, 139.95103608721527]",Not Pink
"[220.82362170643293, 238.89200887301845, 235.6747822323216]",Not Pink
"[232.98571660444733, 69.97224476546015, 160.3438294649137]",Pink
"[233.0561597143321, 75.86814910999297, 166.20916517881295]",Pink
"[233.06979386463237, 77.3782394632906, 165.6228967159011]",Pink
"[178.40972785803172, 71.52772818265433, 131.36801385056538]",Pink
"[37.461505166910136, 47.63939836606612, 46.4616133744522]",Not Pink
"[87.03597900773684, 57.40101715089542, 75.41443488611156]",Not Pink
"[86.4062652166856, 58.48076610939783, 74.79234972677595]",Not Pink
"[231.4936969106747, 91.94340745549965, 167.96504896391278]",Pink
"[230.92414651301195, 104.20900286749986, 170.53908997457123]",Pink
"[230.98063084997025, 104.36530866201375, 170.4224422442244]",Pink
"[230.94735703078504, 104.5019747876427, 170.64004761131852]",Pink
"[231.21971541416437, 105.43423686630958, 170.96959368067954]",Pink
"[231.72087864524158, 89.54271492723043, 162.83687713033598]",Pink
"[232.1632851809771, 89.90986311745928, 166.28258399610453]",Pink
"[229.3879781420765, 236.21717253692583, 230.1006330141211]",Not Pink
"[237.9698641995347, 233.6175945463399, 230.04468971487313]",Not Pink
"[230.70026510847805, 235.4660498836769, 231.42493101769193]",Not Pink
"[230.56462695449872, 235.50917058919006, 231.46989125142022]",Not Pink
"[230.4133528106909, 235.41259535789644, 231.31753503219176]",Not Pink
"[230.5122004003679, 235.42103554617756, 231.2930801276849]",Not Pink
"[230.46036898771845, 235.51798950386842, 231.37385705783694]",Not Pink
"[43.407780122274524, 46.27257479846345, 43.7873180760699]",Not Pink
"[224.20110371692908, 91.93361467294271, 166.82600227235838]",Pink
"[223.85678731807607, 97.41313639560677, 165.41183790510198]",Pink
"[223.76800302981118, 97.50581615538603, 165.42087323486447]",Pink
"[231.77952713304117, 99.23107720608127, 170.37120597305633]",Pink
"[230.60818049018016, 108.72921062598063, 171.79570416058]",Pink
"[253.32536091, 195.63068304, 214.5556992 ]",Pink
"[253.13747037, 192.21784098, 212.52316311]",Pink
"[253.48308554, 222.04072398, 242.84464555]",Pink
"[253.32536091, 195.63068304, 214.5556992 ]",Pink
"[253.13747037, 192.21784098, 212.52316311]",Pink
"[253.48308554, 222.04072398, 242.84464555]",Pink
"[253.32536091, 195.63068304, 214.5556992 ]",Pink
"[253.13747037, 192.21784098, 212.52316311]",Pink
"[253.48308554, 222.04072398, 242.84464555]",Pink
